# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.033360138535499573e-01 3.358805477619171143e-01 1.033360138535499573e-01 3.358805477619171143e-01
1.000000000000000000e+03 5.377622437663376331e-04 6.195682799443602562e-04 5.377622437663376331e-04 6.195682799443602562e-04
2.000000000000000000e+03 1.510329893790185452e-04 4.521917144302278757e-04 1.510329893790185452e-04 4.521917144302278757e-04
3.000000000000000000e+03 1.196361845359206200e-04 3.858598938677459955e-04 1.196361845359206200e-04 3.858598938677459955e-04
4.000000000000000000e+03 2.571104414528235793e-05 2.867926668841391802e-04 2.571104414528235793e-05 2.867926668841391802e-04
5.000000000000000000e+03 3.274124173913151026e-05 2.613397373352199793e-04 3.274124173913151026e-05 2.613397373352199793e-04
6.000000000000000000e+03 8.131910581141710281e-04 5.730373668484389782e-04 8.131910581141710281e-04 5.730373668484389782e-04
7.000000000000000000e+03 1.783115112630184740e-05 2.284293877892196178e-04 1.783115112630184740e-05 2.284293877892196178e-04
8.000000000000000000e+03 1.295078072871547192e-05 2.161083248211070895e-04 1.295078072871547192e-05 2.161083248211070895e-04
9.000000000000000000e+03 2.108132699504494667e-03 5.255333380773663521e-04 2.108132699504494667e-03 5.255333380773663521e-04
1.000000000000000000e+04 8.984689884528052062e-06 2.037215017480775714e-04 8.984689884528052062e-06 2.037215017480775714e-04
